fx,fy,fz,tx,ty,tz,torso_lift_joint,arm_right_1_joint,arm_right_2_joint,arm_right_3_joint,arm_right_4_joint,arm_right_5_joint,arm_right_6_joint,arm_right_7_joint
5.508707618421059,-7.3552873937247005,-6.007793741902831,0.6495092631578953,0.26777998076923043,0.045884942307692245,0.07470994950402068,-1.277901870107982,-1.1574124729095274,2.0174004521179145,-1.4342720366730746,-0.7563244337770533,1.6374525857184894,1.6680842645765812
0.4376591737331948,-2.231676047569801,-12.034485348500482,0.38607634643226446,-0.041234994829369154,0.05270884384694941,0.12159634177707289,0.010426275667660079,-0.9899209456322637,0.8162215898540254,-2.1029678179421603,0.5814745924079009,2.1408619370928985,0.4630464818931672
1.0272007942057941,13.281306844155816,-12.464366214785239,-0.5014975024975017,-0.04653499900099892,0.060419057942058006,0.22043051847039793,0.07648332334598518,0.8348690438067603,0.06433131929195407,-1.8950894527338453,2.0420160500735167,2.5630901489584197,-0.8354922235018387
11.480221465931848,-1.4285557915831653,8.462874638276555,0.2819943226452909,0.5998065951903815,0.04507422144288582,0.049037304188442224,-1.6622838997223885,0.79620793426208,0.7556533171823533,-0.012223909403463703,3.183705219907216,1.3169225063998224,-2.073606466924037
7.6029487067066945,16.611311153153142,-5.650194793793795,-0.7407204564564562,0.3157211121121128,0.05852127727727737,0.31605325010983465,-4.2185430404847555,0.06061620957129321,1.885262388311453,-1.9477241685181714,-0.7059906891745557,1.3769634731756595,0.6311132519658877
9.851126731000027,14.891325682000014,-7.901473795999992,-0.6305539670000002,0.4502009429999998,0.05483823199999987,0.044361846414331434,-3.6651355028052004,-1.1742622931264588,0.7480792870421679,-0.8525817282168772,2.0708500951958047,2.1066829276628205,1.1217713880409965
7.713856283716291,-1.966162103896106,-11.229355586413572,0.30463765434565504,0.3686748271728269,0.048093566433566444,0.23929087488256454,-2.7484381713446657,0.40331710496487005,-1.1592820119947627,-0.5449706433461847,-0.3772873684704356,0.5617485582136839,-1.5739601621699106
-4.0917360430861764,-2.7912661673346695,-9.76988917735469,0.456081813627255,-0.30441035170340675,0.056021897795591295,0.21517117203294564,-1.615665264840552,-0.8676578831478157,-0.7991800220386083,-0.38507711465891736,-1.0833020260948019,-1.4624109967508518,1.537408276208573
-6.657807305611224,10.914289784569121,3.5315738927855755,-0.32956093486973914,-0.47661692484969925,0.06623908817635257,0.09013514871975326,-3.325957969533799,-1.528971381875202,0.5367494650611101,-1.6782708557461343,0.416691499959248,1.357740776427467,0.03377154578329482
9.299975797202773,-7.714756324675324,0.11729046253746235,0.6531291728271725,0.48173707092907103,0.043276880119880116,0.3078516100924396,-1.0837334581913947,-1.7991916850411824,1.9388798105380183,-0.4016632819279308,0.2858237639927542,0.1567057248624426,0.97534812814735
15.10618163891673,10.68846296790369,-3.9133268034102264,-0.4295181755265796,0.759600030090271,0.04958551654964895,0.22059262014939118,-2.085926250126744,-0.9990529250101456,0.0012463593901570833,-0.597341706182593,0.40758348903117697,0.36444027937189283,1.3155323363108016
14.12502773226773,8.466720502497491,5.506035707292713,-0.28973061538461614,0.7162402607392615,0.049163575424575376,0.13929843008527948,-2.772550431854243,-0.3323465250753488,-0.9768341720356142,-1.7472999912009881,3.082774077754303,1.863115540686353,2.0131100996017968
-8.967352250498998,-2.4321707754491033,-2.027034639720557,0.46062174950099727,-0.5892478542914174,0.060885407185628695,0.2685132013869247,-2.170319161910265,-0.11651063452987653,-0.11159710231868039,0.0775139666878463,-0.5994748982157464,0.3549487732468508,-0.7591527108547174
-0.5284468261738263,13.617513119880108,-11.473812981019005,-0.5305403126873125,-0.14583842957042983,0.06314866333666332,0.11935183226248548,-0.14390657266352225,-0.081708445404721,-1.0455517176429288,0.5748353318103333,0.33380860051380196,0.648730062576762,-0.11938684850716216
0.4693752897102894,12.226732632367614,7.212946892107885,-0.45969408091908015,-0.07737887212787216,0.06273794105894098,0.3228765867036361,-3.3918951749630706,-1.8904395734705668,0.2670564677909658,0.3359657609967661,-0.92729138627687,0.5402009218338524,-1.9476282947189285
-5.30754515868264,6.701791356287426,7.807713195608775,-0.09980176546906201,-0.3924553612774455,0.06363545409181635,0.2264348477834854,-1.9766301189898918,-2.0072378293981723,-0.9437337428470193,-1.214721036406942,0.5608856940204983,2.4518286049370897,-1.3225790605551513
-2.6000369189999972,-1.7619385830000032,9.712515496,0.3685070799999996,-0.21759781500000047,0.056844187000000185,0.026884004119913096,-3.433288687786172,0.1812254490188021,-1.6672453688332063,-1.1838257046009328,-0.3775749898681641,-1.0333517766892761,1.4702726482887656
-10.513836314999988,3.1531044650000006,0.10568819300000029,0.14424855600000025,-0.6927597130000005,0.06524874099999999,0.3147080754060325,-3.7674807834969455,-1.7216058130039036,0.5653677941351016,-1.7253928280739963,-0.6372491751174303,1.2860032061440032,0.500245515999394
7.113754286000006,-8.936497098999993,2.1892716700000032,0.7110015920000002,0.34752907899999996,0.045825617999999985,0.22540724610127066,-4.238868285924241,0.7453708522135569,-0.5326748285932889,-1.1508451176613916,0.9149716030741635,0.6548420172784937,-0.383351386272546
15.411385049,3.7889034089999964,5.563828261,-0.03674452099999994,0.7966547690000002,0.04602733299999993,0.14263474360440825,-3.225578101726532,-0.7493975517817573,2.076770302299051,-1.0466782347840322,3.0739297197741497,-0.44583713492907506,-1.7828452022702757
-1.6213684875124867,14.293445747252747,-8.682238037962032,-0.6494790559440551,-0.2282792677322672,0.06565393406593405,0.23387208464122963,-0.11157313386886969,-1.4127244002932438,-1.5157168291298777,-1.968984183500274,2.0139010584455503,-0.8237476830945898,1.9226292015663546
